time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,propellant,mass flow rate,thrust,mass
49,217.905,4.431,212.183,44.563,16.577,0.166,83.427,18578.8486,385772.3339,2671.028046,6875552.615,418072.3339
50,224.444,4.65,218.222,48.54,16.734,0.213,82.554,19253.37944,383096.7611,2675.572891,6888768.662,415396.7611
51,231.761,4.909,224.507,51.153,16.83,0.263,81.899,19964.26047,380427.2612,2669.49983,6874926.476,412727.2612
52,238.888,5.145,231.297,52.806,16.882,0.315,81.185,20677.43105,377770.4976,2656.763658,6843756.771,410070.4976
53,246.116,5.368,239.475,54.353,16.927,0.368,80.601,21421.00885,375127.3054,2643.192135,6810314.525,407427.3054
54,253.055,5.585,248.001,56.478,17.026,0.424,79.861,22113.05644,372489.0657,2638.239742,6798948.795,404789.0657
55,261.112,5.874,256.183,59.561,17.158,0.482,78.805,22804.98168,369851.7385,2637.327165,6798363.71,402151.7385
56,269.166,6.15,263.482,63.675,17.33,0.543,77.624,23502.14736,367209.0994,2642.639082,6813641.012,399509.0994
57,276.577,6.422,270.046,68.613,17.457,0.61,77.059,24070.62111,364568.2649,2640.8345,6810554.136,396868.2649
58,284.45,6.69,275.386,73.93,17.553,0.681,76.696,24702.79483,361934.041,2634.223894,6795044.824,394234.041
59,292.779,6.977,280.613,79.081,17.61,0.757,76.393,25332.49984,359312.6043,2621.436746,6763715.436,391612.6043
60,300.094,7.243,286.074,83.822,17.68,0.839,76.03,25815.20632,356701.6633,2610.940975,6738116.817,389001.6633
61,308.611,7.55,292.711,88.135,17.755,0.925,75.837,26353.7962,354100.9083,2600.755073,6713473.58,386400.9083
62,316.67,7.859,301.438,92.165,17.815,1.015,75.302,26770.25954,351512.5395,2588.368772,6683129.925,383812.5395
63,325.001,8.143,310.845,95.835,17.846,1.109,74.873,27274.71793,348940.476,2572.063464,6642546.653,381240.476
64,333.333,8.46,319.798,98.756,17.871,1.206,74.873,27637.26289,346385.7804,2554.69565,6599334.669,378685.7804
65,342.085,8.832,328.613,100.985,17.9,1.306,74.865,27841.63625,343848.2166,2537.563736,6556909.083,376148.2166
66,350.559,9.168,336.72,103.265,17.973,1.408,74.821,28078.3996,341320.8745,2527.34211,6532028.211,373620.8745
67,359.166,9.501,343.08,106.333,18.092,1.513,74.684,28306.29327,338797.0771,2523.797382,6524241.053,371097.0771
68,367.322,9.83,349.364,110.579,18.237,1.622,74.684,28432.90489,336273.1762,2523.900966,6525763.866,368573.1762
69,376.388,10.189,357.768,115.59,18.357,1.735,74.207,28555.02942,333753.1288,2520.047346,6517176.463,366053.1288
70,385.423,10.562,366.53,120.992,18.413,1.853,73.453,28574.77641,331246.1143,2507.014487,6484991.674,363546.1143
71,394.448,10.986,374.742,126.393,18.432,1.977,72.992,28363.0762,328757.5643,2488.550082,6438958.211,361057.5643
72,403.557,11.345,382.106,131.253,18.504,2.105,72.719,28351.39155,326279.4124,2478.15189,6413382.647,358579.4124
73,413.305,11.733,388.512,135.156,18.653,2.239,72.559,28275.50852,323801.2194,2478.19299,6414675.059,356101.2194
74,422.226,12.07,396.246,138.356,18.876,2.375,72.381,28231.2955,321312.7024,2488.516982,6442195.119,353612.7024
75,431.944,12.515,405.749,141.468,19.083,2.515,72.095,27850.29174,318817.1307,2495.571735,6461570.671,351117.1307
76,441.805,12.91,416.41,144.963,19.281,2.659,71.547,27629.59864,316315.7204,2501.410237,6477626.884,348615.7204
77,452.185,13.33,428.182,148.447,19.458,2.805,71.396,27333.01834,313811.7369,2503.983487,6485305.223,346111.7369
78,462.5,13.85,440.439,151.583,19.598,2.955,71.396,26606.40099,311310.8721,2500.864813,6478537.502,343610.8721
79,472.852,14.242,449.938,154.184,19.703,3.108,71.396,26319.80823,308817.1594,2493.712716,6461047.317,341117.1594
